tx_id,merchant_id,order_id,category,amount,hour,dayofweek,device_age_days,local_time,created_at,status
0,3,order_TWmG2rdyxaXMu9,electronics,496.5,18,1,175.54,0.0,1788266742,created
1,2,order_TWmG3dZP3X7QPS,other,140.0,18,1,11.65,60.0,1788266742,created
2,3,order_TWmG32vnYc3ED6,travel,46.0,18,1,187.35,120.0,1788266742,created
3,4,order_TWmG3FDGfL9h3e,fashion,115.0,18,1,41.91,180.0,1788266742,created
4,2,order_TWmG3QSKXomCOv,travel,496.5,18,1,98.28,240.0,1788266742,created
5,1,order_TWmG3qTCxwC04S,travel,142.0,18,1,107.21,300.0,1788266743,created
6,3,order_TWmG43KEI2qYK9,fashion,3.0,18,1,242.53,360.0,1788266743,created
7,3,order_TWmG4GM1NFqz2F,other,326.0,18,1,194.61,420.0,1788266743,created
8,0,order_TWmG4U2kK1w1kL,grocery,55.5,18,1,189.42,480.0,1788266743,created
9,4,order_TWmG4eR9W0V5pu,travel,153.5,18,1,274.94,540.0,1788266743,created
10,0,order_TWmG4pUnOBAr1v,other,60.0,18,1,31.96,600.0,1788266743,created
11,1,order_TWmG5p2UXQNGuv,electronics,303.0,18,1,56.38,660.0,1788266744,created
12,1,order_TWmG5d2Gacw6ga,electronics,356.0,18,1,103.2,720.0,1788266744,created
13,1,order_TWmG5FHxi80X29,grocery,247.0,18,1,143.26,780.0,1788266744,created
14,2,order_TWmG52nlCnbMQL,travel,289.0,18,1,178.03,840.0,1788266744,created
15,3,order_TWmG5RgkPm1kdv,travel,385.0,18,1,252.69,900.0,1788266744,created
16,0,order_TWmG60lJVNWTTM,electronics,188.0,18,1,230.7,960.0,1788266745,created
17,1,order_TWmG6DgqgfaLCP,electronics,324.5,18,1,356.98,1020.0,1788266745,created
18,0,order_TWmG6OR2pLbMrv,other,129.0,18,1,105.6,1080.0,1788266745,created
19,4,order_TWmG6ZkgScaEst,fashion,401.5,18,1,186.34,1140.0,1788266745,created
20,4,order_TWmG6jXb1T1cob,electronics,306.5,18,1,326.72,1200.0,1788266745,created
21,1,order_TWmG6vM6cypaby,other,199.5,18,1,360.76,1260.0,1788266745,created
22,3,order_TWmG84rq3mWoie,electronics,212.5,18,1,176.51,1320.0,1788266746,created
23,4,order_TWmG7sKFyMzkAo,electronics,81.0,18,1,156.32,1380.0,1788266746,created
24,3,order_TWmG76pd8utDwr,grocery,76.5,18,1,214.19,1440.0,1788266746,created
25,0,order_TWmG7W5qmMLGCC,other,419.0,18,1,224.59,1500.0,1788266746,created
26,0,order_TWmG7JZs94x4oh,travel,194.5,18,1,64.74,1560.0,1788266746,created
27,0,order_TWmG7hYwSEJCpi,grocery,212.5,18,1,195.14,1620.0,1788266746,created
28,1,order_TWmG8Gfmsiif8n,electronics,354.0,18,1,322.81,1680.0,1788266747,created
29,3,order_TWmG8RnxdthYnx,travel,44.0,18,1,263.27,1740.0,1788266747,created
30,4,order_TWmG8d5BC0QPLr,travel,378.5,18,1,177.69,1800.0,1788266747,created
31,0,order_TWmG8qOBKtq7Ab,electronics,264.5,18,1,152.69,1860.0,1788266747,created
32,3,order_TWmG93ndpHkBjW,travel,319.5,18,1,26.15,1920.0,1788266747,created
33,1,order_TWmG9Fbh5uP4go,other,295.0,18,1,144.53,1980.0,1788266748,created
34,0,order_TWmG9QmmBbAh5V,travel,166.5,18,1,107.25,2040.0,1788266748,created
35,2,order_TWmG9bgFu4OxMS,grocery,143.5,18,1,263.23,2100.0,1788266748,created
36,0,order_TWmG9mpwFbeNeU,electronics,469.5,18,1,44.5,2160.0,1788266748,created
37,1,order_TWmG9xodq7XH8p,other,301.0,18,1,67.69,2220.0,1788266748,created
38,4,order_TWmGA8kBPpwLFF,fashion,135.0,18,1,336.03,2280.0,1788266748,created
39,1,order_TWmGBJ6TCntzSg,fashion,149.5,18,1,73.17,2340.0,1788266749,created
40,3,order_TWmGB7Q8vSbqEr,travel,343.0,18,1,202.41,2400.0,1788266749,created
41,1,order_TWmGALOr78dAtB,other,282.0,18,1,89.81,2460.0,1788266749,created
42,3,order_TWmGAhCGoCvjST,other,275.0,18,1,362.01,2520.0,1788266749,created
43,0,order_TWmGAVpHeXs9U6,fashion,266.5,18,1,195.45,2580.0,1788266749,created
