tx_id,order_id,customer_id,merchant_id,amount,category,status,device_id,device_age_days,LoginAttempts,CustomerAge,AccountBalance,TransactionDuration,created_at,hour,dayofweek,local_time,is_fraud
0,TX000001,AC00128,M015,14.09,electronics,Debit,D000380,30.0,1,70,5112.21,81,1681230,16,1,8555,0
1,TX000002,AC00455,M052,376.24,electronics,Debit,D000051,30.0,1,68,13758.91,141,1687884,16,1,15209,0
2,TX000003,AC00019,M009,126.29,digital_goods,Debit,D000235,30.0,1,19,1122.35,56,1689012,18,0,16337,0
3,TX000004,AC00070,M002,184.5,digital_goods,Debit,D000187,30.0,1,26,8569.06,25,1683304,16,4,10629,0
4,TX000005,AC00411,M091,13.45,digital_goods,Credit,D000308,30.0,1,26,7429.4,198,1697478,17,0,24803,0
5,TX000006,AC00393,M054,92.15,electronics,Debit,D000579,30.0,1,18,781.68,172,1680542,17,0,7867,0
6,TX000007,AC00199,M019,7.08,electronics,Credit,D000241,30.0,1,37,13316.71,139,1676479,16,2,3804,0
7,TX000008,AC00069,M020,171.42,travel,Credit,D000500,30.0,1,67,2796.24,291,1683568,17,0,10893,0
8,TX000009,AC00135,M035,106.23,travel,Credit,D000690,30.0,1,51,9095.14,86,1679417,16,1,6742,0
9,TX000010,AC00385,M007,815.96,electronics,Debit,D000199,30.0,1,55,1021.88,120,1680278,16,4,7603,0
10,TX000011,AC00150,M073,17.78,digital_goods,Credit,D000205,30.0,1,52,7599.52,59,1678812,16,1,6137,0
11,TX000012,AC00459,M030,190.02,digital_goods,Debit,D000589,30.0,1,21,1528.81,173,1675704,17,0,3029,0
12,TX000013,AC00392,M057,494.52,travel,Credit,D000032,30.0,1,24,1620.02,111,1686158,17,2,13483,0
13,TX000014,AC00264,M025,781.76,electronics,Debit,D000054,30.0,1,26,189.69,123,1700498,16,0,27823,0
14,TX000015,AC00085,M017,166.99,digital_goods,Debit,D000309,30.0,1,18,299.93,134,1676307,16,0,3632,0
15,TX000016,AC00270,M025,465.45,electronics,Debit,D000466,30.0,1,36,3465.54,129,1702398,16,1,29723,0
16,TX000017,AC00317,M048,555.8,travel,Credit,D000671,30.0,1,19,1131.26,158,1698684,16,0,26009,0
17,TX000018,AC00359,M059,492.93,digital_goods,Debit,D000432,30.0,1,39,5109.97,234,1702578,18,3,29903,0
18,TX000019,AC00242,M054,18.68,travel,Credit,D000530,30.0,1,59,7948.37,106,1676998,16,1,4323,0
19,TX000020,AC00285,M039,71.48,digital_goods,Credit,D000039,30.0,1,18,6568.59,169,1686248,18,3,13573,0
20,TX000021,AC00002,M040,59.32,travel,Debit,D000152,30.0,1,71,5750.89,38,1677602,16,1,4927,0
21,TX000022,AC00014,M065,85.77,travel,Debit,D000268,30.0,1,38,9146.19,93,1691778,18,4,19103,0
22,TX000023,AC00095,M022,52.2,digital_goods,Debit,D000142,30.0,1,39,8974.93,120,1686077,18,1,13402,0
23,TX000024,AC00453,M083,345.84,digital_goods,Debit,D000162,30.0,3,22,1402.5,142,1683051,18,1,10376,0
24,TX000025,AC00241,M028,145.54,digital_goods,Debit,D000036,30.0,1,21,1930.96,96,1677775,16,3,5100,0
25,TX000026,AC00041,M043,7.49,digital_goods,Credit,D000671,30.0,1,65,3634.67,276,1697824,17,4,25149,0
26,TX000027,AC00441,M029,246.93,electronics,Debit,D000046,30.0,5,23,673.35,158,1681749,16,0,9074,0
27,TX000028,AC00057,M008,40.32,travel,Debit,D000310,30.0,1,37,2686.52,95,1680108,16,2,7433,0
28,TX000029,AC00390,M092,127.45,digital_goods,Debit,D000232,30.0,1,44,1772.06,197,1674577,16,1,1902,0
29,TX000030,AC00313,M043,56.17,travel,Debit,D000297,30.0,1,27,1351.69,283,1695228,16,2,22553,0
30,TX000031,AC00367,M091,28.31,digital_goods,Credit,D000587,30.0,1,59,8334.47,20,1689616,17,0,16941,0
31,TX000032,AC00291,M053,59.12,electronics,Debit,D000282,30.0,1,29,9823.64,257,1675700,16,0,3025,0
32,TX000033,AC00060,M007,396.45,electronics,Debit,D000621,30.0,3,49,9690.15,168,1695659,16,0,22984,0
33,TX000034,AC00359,M094,877.81,digital_goods,Debit,D000111,30.0,1,22,399.0,150,1678728,17,0,6053,0
34,TX000035,AC00365,M002,255.26,travel,Credit,D000357,30.0,1,45,14815.87,50,1698424,16,4,25749,0
35,TX000036,AC00267,M002,124.76,travel,Debit,D000042,30.0,1,49,5764.72,45,1697473,16,0,24798,0
36,TX000037,AC00404,M028,78.13,travel,Debit,D000250,30.0,1,26,900.61,145,1700585,16,1,27910,0
37,TX000038,AC00202,M074,649.28,electronics,Debit,D000448,30.0,1,75,4875.86,137,1677779,17,3,5104,0
38,TX000039,AC00478,M048,795.31,electronics,Debit,D000077,30.0,2,66,7914.88,90,1697130,17,3,24455,0
39,TX000040,AC00405,M040,335.63,digital_goods,Debit,D000038,30.0,1,55,1019.39,216,1674580,17,1,1905,0
40,TX000041,AC00421,M014,328.47,electronics,Debit,D000557,30.0,1,63,4323.66,119,1690828,18,0,18153,0
41,TX000042,AC00480,M046,34.02,digital_goods,Debit,D000627,30.0,1,38,14214.48,19,1673280,16,0,605,0
42,TX000043,AC00120,M044,241.42,digital_goods,Credit,D000198,30.0,1,57,13357.02,116,1682017,18,3,9342,0
43,TX000044,AC00117,M009,55.32,electronics,Debit,D000197,30.0,1,19,241.79,117,1681315,16,2,8640,0
44,TX000045,AC00011,M005,304.31,travel,Debit,D000685,30.0,1,27,868.61,33,1690390,16,2,17715,0
45,TX000046,AC00401,M051,435.27,travel,Debit,D000297,30.0,1,74,4673.28,90,1696441,17,2,23766,0
46,TX000047,AC00282,M070,164.49,travel,Debit,D000103,30.0,1,26,1509.27,75,1702483,16,2,29808,0
47,TX000048,AC00439,M090,510.24,digital_goods,Debit,D000397,30.0,1,19,781.7,105,1696868,16,0,24193,0
48,TX000049,AC00296,M023,626.9,digital_goods,Debit,D000284,30.0,1,26,265.51,138,1701103,16,0,28428,0
49,TX000050,AC00471,M055,22.01,digital_goods,Credit,D000304,30.0,1,41,1335.09,175,1679935,16,0,7260,0
50,TX000051,AC00159,M040,425.34,digital_goods,Credit,D000661,30.0,1,69,3907.54,121,1676307,16,0,3632,0
51,TX000052,AC00482,M015,424.56,digital_goods,Debit,D000598,30.0,1,51,5183.85,264,1677001,17,1,4326,0
52,TX000053,AC00115,M078,85.43,travel,Debit,D000235,30.0,1,67,14904.9,145,1686156,16,2,13481,0
53,TX000054,AC00055,M036,169.5,travel,Debit,D000442,30.0,1,28,918.88,142,1694105,16,3,21430,0
54,TX000055,AC00419,M095,104.63,electronics,Debit,D000642,30.0,1,62,4477.78,90,1680112,17,2,7437,0
55,TX000056,AC00374,M052,316.95,travel,Debit,D000013,30.0,1,25,1324.03,83,1691171,17,4,18496,0
56,TX000057,AC00271,M095,60.54,travel,Credit,D000462,30.0,1,57,3534.93,52,1702576,17,3,29901,0
57,TX000058,AC00456,M075,292.56,travel,Credit,D000311,30.0,1,68,4638.37,61,1677865,17,4,5190,0
58,TX000059,AC00143,M064,386.52,travel,Debit,D000145,30.0,1,48,5630.61,28,1686327,16,4,13652,0
59,TX000060,AC00427,M064,112.07,travel,Debit,D000089,30.0,1,23,930.3,51,1696264,16,0,23589,0
60,TX000061,AC00438,M094,568.52,electronics,Debit,D000233,30.0,1,46,5499.91,152,1696617,18,4,23942,0
61,TX000062,AC00002,M087,263.99,travel,Debit,D000285,30.0,2,79,4175.02,227,1684253,16,1,11578,0
62,TX000063,AC00425,M097,349.64,digital_goods,Debit,D000516,30.0,1,48,6651.62,226,1699375,16,1,26700,0
63,TX000064,AC00325,M001,601.4,travel,Credit,D000548,30.0,1,56,8458.29,104,1685468,17,1,12793,0
64,TX000065,AC00434,M071,5.77,digital_goods,Debit,D000461,30.0,1,50,13988.12,124,1698940,16,3,26265,0
65,TX000066,AC00242,M003,201.33,travel,Credit,D000098,30.0,1,42,2585.07,186,1680109,17,2,7434,0
66,TX000067,AC00319,M005,298.42,travel,Debit,D000435,30.0,1,56,3014.75,225,1682439,16,1,9764,0
67,TX000068,AC00460,M063,521.06,travel,Debit,D000305,30.0,1,25,1951.42,128,1681843,18,1,9168,0
68,TX000069,AC00461,M057,117.28,digital_goods,Credit,D000128,30.0,1,60,3665.77,16,1675960,16,3,3285,0
69,TX000070,AC00395,M040,189.12,travel,Credit,D000684,30.0,1,32,977.01,103,1699893,16,0,27218,0
70,TX000071,AC00217,M091,133.55,electronics,Debit,D000201,30.0,1,44,3846.28,220,1689696,16,1,17021,0
71,TX000072,AC00053,M066,143.21,digital_goods,Debit,D000410,30.0,1,35,6374.82,135,1673629,17,4,954,0
72,TX000073,AC00282,M070,24.77,electronics,Debit,D000180,30.0,1,62,5866.01,55,1688494,18,1,15819,0
73,TX000074,AC00110,M046,233.92,digital_goods,Credit,D000295,30.0,1,26,6537.62,280,1697820,16,4,25145,0
74,TX000075,AC00265,M036,1212.51,travel,Debit,D000231,30.0,1,20,605.95,24,1696437,16,2,23762,1
75,TX000076,AC00239,M066,232.12,electronics,Debit,D000073,30.0,1,37,6689.87,51,1703784,17,3,31109,0
76,TX000077,AC00007,M060,162.63,digital_goods,Debit,D000070,30.0,1,22,634.17,113,1686592,17,0,13917,0
77,TX000078,AC00022,M095,91.53,travel,Debit,D000363,30.0,1,44,14676.05,69,1678725,16,0,6050,0
78,TX000079,AC00464,M045,120.29,travel,Debit,D000561,30.0,1,19,1362.39,77,1702925,18,0,30250,0
79,TX000080,AC00014,M032,174.25,digital_goods,Debit,D000375,30.0,1,50,10528.34,67,1689620,18,0,16945,0
80,TX000081,AC00406,M074,183.71,electronics,Debit,D000488,30.0,1,38,552.52,102,1687198,18,0,14523,0
81,TX000082,AC00445,M081,345.39,digital_goods,Credit,D000097,30.0,1,58,6451.96,80,1698081,17,0,25406,0
82,TX000083,AC00236,M004,922.55,electronics,Debit,D000206,30.0,1,63,4715.84,87,1674491,16,0,1816,0
83,TX000084,AC00220,M028,259.91,digital_goods,Debit,D000616,30.0,1,49,7176.86,170,1699288,16,0,26613,0
